text,Issue_id,Severity,clean_posts
WE the people of kamakshipuram have been raising complaints against the regular sewage overflow issue and no leds are present in many of the manholes. Please we need the attention and solve the issue immediately,3.0,1.0,peopl kamakshipuram rais complaint regular sewag overflow issu present mani manhol pleas need attent solv issu immedi
"AWWD is seeking a responsible, ethical, and results-driven Laboratory Technician for our Wastewater Treatment Facility. Learn more and apply at https://t.co/9cz7yslkss
#wastewatertreatment #laboratorytechnician #publicservice #jobs #careers #hiring #waterislife #watermatters https://t.co/ZnYqZqIn7d",3.0,0.0,"awwd seek respons ethic result driven laboratori technician wastewat treatment facil learn appli 
 wastewatertreat laboratorytechnician publicservic career hire waterislif watermatt "
@Arewa_Icon @NERCNG @fccpcnigeria @NGElectricHub @electricity_rep @breketeConnect This is noted. Your complaint has been forwarded to the appropriate unit to be addressed.,0.0,0.0, arewa icon nercng fccpcnigeria ngelectrichub electr breketeconnect note complaint forward appropri unit address 
@Newzroom405 @MbalulaFikile Not with a potholes the size of bathtubs,4.0,0.0, newzroom mbalulafikil pothol size bathtub
"@MakungaSisanda Get an app called waze, it even tells where are the potholes",4.0,0.0, makungasisanda call waze even tell pothol
The pipelines  of the city needs to be fixed and unclog it soon or else many area in the south end of the city will be flooded with sewage water all over. urgently needs to be fixed before things gets out of hand,3.0,1.0,pipelin citi need unclog soon mani area south citi flood sewag water urgent need thing hand
"@Arghya_Ind (2/2) You can also register a complaint by yourself and track your complaint status over SMS by sending POWER &lt; Adani Electricity a/c no. &gt; to 7065313030
or
by giving a missed call on 1800 532 9998 from your registered mobile number.",0.0,0.0," arghya also regist complaint track complaint statu send power electr 

 give miss call regist mobil number "
ONLINE EXCLUSIVE | Compare the specifications and features of FLEXFLO peristaltic dosing pumps —designed and engineered for use in municipal water and wastewater treatment applications. #sponsored by @BlueWhiteInd https://t.co/2GinPBeImd,3.0,1.0,onlin exclus compar specif featur flexflo peristalt dose pump design engin municip water wastewat treatment applic sponsor bluewhiteind 
#PFAS compounds found in popular #fertilizers resemble biosolids similar to sewage sludge sold by #wastewater treatment plants. https://t.co/HN1PkNEYN0,3.0,0.0, compound found popular fertil resembl biosolid similar sewag sludg sold wastewat treatment plant 
"@NammaBESCOM @BSYBJP @CMofKarnataka @mdbescom is this the vison of BESCOM? Everyday 3-4 times power cut!! Really pathetic!!
Area: Kaggadasapura.
#bescom #WFH #ElectricityBoard 

If for late payment, customer is fined, why not @NammaBESCOM is fined for failure to provide service?",0.0,0.0," nammabescom bsybjp cmofkarnataka mdbescom vison bescom everyday time power realli pathet 
area kaggadasapura 
 bescom electricityboard 

 late payment custom fine nammabescom fine failur provid servic "
The ongoing problem with TBDVC of the state with garbage disposal  needs to be fixed soon or else the  public is going to be in trouble. a new management needs to step in and fix it staright away.,5.0,1.0,ongo problem tbdvc state garbag dispos need soon public troubl manag need step staright away 
24-05-2021 17:31 PM a vehicle was detected apparently traveling an average speed of 36.51 MPH (+) right outside a Primary School #SpeederBot #SaferRoads  #WalkToSchool #RoadSafety,4.0,0.0, vehicl detect appar travel averag speed right outsid primari school speederbot saferroad walktoschool roadsafeti
@MeckGIS Irwin Creek Wastewater Treatment,3.0,0.0, meckgi irwin creek wastewat treatment
Vaniakudy village (Colachel EB office) in Kanyakumari district is under darkness for two days. Please repair the electric lines and restore electricity on war footing. The village is also flooded with rain water. People are going through very tough time.#TNEB/,0.0,1.0,vaniakudi villag colachel offic kanyakumari district dark pleas repair electr line restor electr foot villag also flood rain water peopl tough time tneb 
"App showing status Okay, when complaint put, answered power cut, will come next day by lineman.
Private electricity still it happens to go for 14 hrs and it haunts, with home isolated covid patient and kids at home.
@PSPCLPb @PunjabGovtIndia @capt_amarinder @CMOPb @CsPunjab",0.0,0.0," show statu okay complaint answer power come next lineman 
privat electr still happen haunt home isol covid patient home 
 pspclpb punjabgovtindia capt amarind cmopb cspunjab"
"Dear @PuVVNLHQ, I have mentioned everything needed to include in the complaint yet your employee put something else in complaint and We are waiting for electricity from last 19-20 hrs.
@ptshrikant @EMofficeUP @DMMau1 @myogioffice @MD_PuVVNL @PMOIndia @UppclChairman @UPPCLLKO https://t.co/sqCWUUqEDX it needs to get fixed promptly.",0.0,1.0,"dear puvvnlhq mention everyth need includ complaint employe someth complaint wait electr last 
 emofficeup dmmau myogioffic puvvnl pmoindia uppclchairman uppcllko need promptli "
@Udhaystalin Dear udhay Anna the village called tirumur has not yet recived electricity line please get the people what they deserve.,0.0,0.0, udhaystalin dear udhay anna villag call tirumur reciv electr line pleas peopl deserv 
@TsspdclCorporat You provide number not received phone I don't know many time complaint given for light low voltage and fuse blow issue  but electricity department why not proper action taken ?,0.0,0.0, tsspdclcorporat provid number receiv phone know mani time complaint given light voltag fuse blow issu electr depart proper action taken 
"The association needs to focus on cleaning the city, keeping the roads clean and plastic free. the bins needs to be emptied every day so that people can actually throw in the garbage bin rather than filling it in the road sides. authorities needs to work swiftly on cleaning up the mess.",5.0,1.0,associ need focu clean citi keep road clean plastic free need empti everi peopl actual throw garbag rather fill road side author need work swiftli clean mess 
Ahh yes nothing like some road in between the potholes. #Africa #roadTrip #YAMAHA #tenere #motorcycle https://t.co/sgB5xQn35q,4.0,0.0, noth like road pothol africa roadtrip yamaha tener motorcycl 
"Due to the blockage in sewers ahead, the sewers in our colony are overflowing, making the lanes dirty. It is difficult to walk It gives out a foul smell and has become a breeding place for flies and mosquitoes and a cause for many diseases. Life has become miserable. Many complaints through phone have been made but no action has yet been taken, Action required here and now.",3.0,1.0, blockag sewer ahead sewer coloni overflow make lane dirti difficult walk give foul smell becom breed place mosquito caus mani diseas life becom miser mani complaint phone made action taken action requir 
I am sorry to report that the drainage system in our locality leaves much to be desired. The present drainage system is so defective that a good shower would create the whole area into a collection of small lakes and pools,3.0,0.0,sorri report drainag system local leaf much desir present drainag system defect good shower would creat whole area collect small lake pool
"No garbage bins wherever required, and people who come to collect are not regular.",5.0,0.0,garbag wherev requir peopl come collect regular 
"The bad roads, big potholes and no broken street lights is what the government has done for the public in last 1 year",4.0,0.0, road pothol broken street light govern done public last year
"Professor Zhen He of Washington University has recently developed a single process whereby wastewater can be be treated in a manner that not only filters organic materials out, but generates electricity as well. Learn more here: https://t.co/Aihixpo8x1 #Engineering #Innovation https://t.co/MVMkHfifbz",3.0,0.0,professor zhen washington univers recent develop singl process wherebi wastewat treat manner filter organ materi gener electr well learn engin innov 
"USF #PineyPoint research: Update on Tampa Bay ecosystem
the city has so much shortage of water, so many people don't even have water to drink? is the administration watching ",2.0,0.0," pineypoint research updat tampa ecosystem
 citi much shortag water mani peopl even water drink administr watch "
"@mybmcWardPS Thnk u for ur prompt response on this.. i hope the team resolves the issue at the earliest. Online Complaint number - 0722587138 is registered. Address - chawl no - 328, R. No - 2624 &amp; 2625, Motilal Nagar -2, Goregaon west, Mumbai - 400104. Pls clear the septic/sewage tank asap.",3.0,1.0, mybmcwardp thnk prompt respons hope team resolv issu earliest onlin complaint number regist address chawl motil nagar goregaon west mumbai clear septic sewag tank asap 
"In this recent blog @Jamie_Woodward_ outlines his recent research into microplastic pollution in rivers. He describes how this offers proof that untreated sewage is routinely spilled into rivers outside of permitted conditions.

Read it here:
https://t.co/Mcq7A0JOgl https://t.co/6OhM6Y7ald",3.0,0.0,"recent blog jami woodward outlin recent research microplast pollut river describ offer proof untreat sewag routin spill river outsid permit condit 

read 
 "
"I have been noticing a person who has been trespassing on my property for 3 days now, I want some police man to please check him out its really scarry. please send the patrol team immediately.",1.0,1.0,notic person trespass properti want polic pleas check realli scarri pleas send patrol team immedi 
"The everincreasing number of crime rates is alarming and a cause of concern for many, the world over.While some people demand effective measures to curb crime, others maintain that crime cannot be stopped. This essay discusses both the views and arrives at an opinion.",1.0,0.0,everincreas number crime rate alarm caus concern mani world peopl demand effect measur curb crime other maintain crime cannot stop essay discu view arriv opinion 
"@UPPCLLKO @EMofficeUP @ptshrikant @puvvnlprayagraj @PuVVNLHQ @UPPCLLKO @ChairmanUppcl Already 1 hr passed and till now even complaint isn't registered till now. This is the service provided by  @PuVVNLHQ @puvvnlprayagraj @ceelec_ald Please restart the electricity supply ASAP
@EMofficeUP 
@ptshrikant 
@myogiadityanath
@MinOfPower",0.0,0.0," uppcllko emofficeup puvvnlprayagraj puvvnlhq uppcllko chairmanuppcl alreadi pass till even complaint regist till servic provid puvvnlhq puvvnlprayagraj ceelec pleas restart electr suppli asap
 emofficeup 
 
 myogiadityanath
 minofpow"
"@MobiKwik I paid electricity bill by mobikwick but it's not updated with operator, previous bill also not updated , I complaint many times bt result not satisfactory. My complaint no. is mk0121137676190 and my electricity a/c no 6489026345.plz resolve my prblms.",0.0,0.0, mobikwik paid electr bill mobikwick updat oper previou bill also updat complaint mani time result satisfactori complaint electr resolv prblm 
"the local police of patel chowk has been rowdy with the local people, collecting  protection money from them every week. why is the authority sitting in silence with taking swift action.",1.0,1.0,local polic patel chowk rowdi local peopl collect protect money everi week author silenc take swift action 
"@pvvnlghaziabad @1912PVVNL @edclonigzb @EddLoni @SDO3LONI Without resolving problem, electricity department has forwarded following message 

Dear Customer, your complaint of SUPPLY RELATED with Complaint No. PV2505212373 is resolved. Thank You

How could they send this message without solving it.",0.0,0.0," pvvnlghaziabad pvvnl edclonigzb eddloni loni without resolv problem electr depart forward follow messag 

dear custom complaint suppli relat complaint resolv thank 

 could send messag without solv "
New article in #ESWRT by Sofia Silva et al. titled “Occurrence of pharmaceutical active compounds in sewage sludge from two urban wastewater treatment plants and their potential behaviour in agricultural soils”. 👇https://t.co/CwwonK6kYN,3.0,0.0, articl eswrt sofia silva titl occurr pharmaceut activ compound sewag sludg urban wastewat treatment plant potenti behaviour agricultur soil 
"@HMWSSBOnline @MDHMWSSB sir,their is over flow of sewage water at anjaiah nagar near nallapochamma temple since 2 years,though cleaning work is done by sewage boys again after 2 days same problem arises &amp; water keeps on flowing for weeks. so please resolve the issue permanently. https://t.co/dAYASwKZmi",3.0,1.0, hmwssbonlin mdhmwssb flow sewag water anjaiah nagar near nallapochamma templ sinc year though clean work done sewag problem aris water keep flow week pleas resolv issu perman 
"captured the incident, and found it

In the footage, a man on a bike and the pillion rider, a young boy without a helmet, are seen riding with the dog tied to the bike &amp; being dragged. It seems to be a pet dog, since it has a belt. The Kavoor police were informed about the crime",4.0,0.0,"captur incid found 

 footag bike pillion rider young without helmet seen ride bike drag seem sinc belt kavoor polic inform crime"
the tourist should be fined for polluting the famous spots with plastic and leftovers. there are so many bins placed still they throw it on the side of  the pavements. strict action must be taken if the rules are broken.,5.0,1.0,tourist fine pollut famou spot plastic leftov mani place still throw side pavement strict action must taken rule broken 
"The sewage is blocked for months and it is left unmonitored, a kid alsmost fell in to the drain because no lids have been placed. urgent steps need to be taken as it can harm life of the general.",3.0,1.0,sewag block month left unmonitor alsmost fell drain place urgent step need taken harm life gener 
The neighbouring land is constantly littered. People are ignorant and keep dumping near roads.,5.0,0.0,neighbour land constantli litter peopl ignor keep dump near road 
now days kids have got in to doing crimes like pickpocketing and snatching mobile phones.,1.0,0.0, crime like pickpocket snatch mobil phone 
Minimizing water consumption and waste management is a best practice and should be a priority. Are you well equipped? Check out this 66 GPM compact plant: https://t.co/LLouYhlaWn #wastewater #fabrication #granite #stone @WehaUSA https://t.co/TVNbTOAwzP,3.0,0.0,minim water consumpt wast manag best practic prioriti well equip check compact plant wastewat fabric granit stone wehausa 
"Recycled #wastewater is quickly becoming the single most important element of a drought-proof water supply in the #climate-change era, and it happens to be as pure and delicious as anything you might buy bottled from the Swiss Alps https://t.co/aWWsAiTHqQ #recycle #water",3.0,1.0,recycl wastewat quickli becom singl import element drought proof water suppli climat chang happen pure delici anyth might bottl swiss recycl water
@TamiMagnin @RoryPetzer That's not a bargain with potholes,4.0,0.0, tamimagnin rorypetz bargain pothol
"which i learnt later that it is the dewatered sewage coming out as a part of excavation going on. I then spoke with Site Engineer about the issue.
 His words as below-
""As per the directions of metro rail limited , the sewage is connected to the chennai metro drainage system, 3/8",3.0,0.0,"learnt later dewat sewag come part excav spoke site engin issu 
 word 
 direct metro rail limit sewag connect chennai metro drainag system "
"Conservatives HATE crime so much, except the crime of police murdering people extrajudicially.",1.0,0.0,conserv hate crime much except crime polic murder peopl extrajudici 
We have seen a increase in car breaks at mid night and early morning in  the potrail street for months now. we need somebackup forces assigned,1.0,0.0,seen increas break night earli morn potrail street month need somebackup forc assign
"@VICE Nobody wants to see anyone get hurt but we all pay taxes for the enforcement of our laws. We—everyone—deserve quality of life. Ie: Addressing noise pollution, dangerous drivers, petty crime...

""Don't call the cops"" sounds great, I agree, but assholes will take advantage.",1.0,0.0," vice nobodi want anyon hurt enforc everyon deserv qualiti life address nois pollut danger driver petti crime 

 call sound great agre asshol take advantag "
"24-05-2021 17:41 PM a vehicle was detected apparently traveling an average speed of 36.2 MPH (-) right outside a Primary School , A traffic police needs to be assigned as soon as possible for the safety of the kids and daily commutes#SpeederBot #SaferRoads  #WalkToSchool #RoadSafety",4.0,1.0, vehicl detect appar travel averag speed right outsid primari school traffic polic need assign soon possibl safeti daili commut speederbot saferroad walktoschool roadsafeti
"Road Marking Question #5
What does a Double Solid White lines on the road mean?

#RoadSafety #RoadSafetyCyberabad https://t.co/fhWrgerMNt",4.0,0.0,"road mark question 
what doubl solid white line road mean 

 roadsafeti roadsafetycyberabad "
"At least 400K people in #Gaza do not have access to safe &amp; clean #water as a result of Israeli bombing.  More than 10K meters of underground sewage &amp; water lines, wastewater networks &amp; wells have been destroyed.
Donate today to support repairs: https://t.co/sSXFG4osgI
#UPAConnect https://t.co/yDH1U3YbZn",2.0,0.0,"least peopl access safe clean water result isra bomb meter underground sewag water line wastewat network well destroy 
donat today support repair 
 upaconnect "
Malvern Hunt Wastewater Treatment Plant to close. Sewage will be diverted to existing public sewer along Chester Valley Trail for treatment at Valley Forge Sewer Authority's WWTP. Visit https://t.co/FKQcpFEYDS to view WWTP closure plan.,2.0,0.0,malvern hunt wastewat treatment plant close sewag divert exist public sewer along chester valley trail treatment valley forg sewer author wwtp visit view wwtp closur plan 
"$FWT Forward Water Technologies ready to deliver its commercial-scale, membrane-driven wastewater tech https://t.co/CxF8Pew2pQ @Forward_Water #FWT #Katie_Proactive",3.0,0.0, forward water technolog readi deliv commerci scale membran driven wastewat tech forward water kati proactiv
"Roads are not properly laid, ditches everywhere. every 20 meter we have large number of pothole which are not being fixed for last couple of years, needs your attention at once.",4.0,1.0,road properli laid ditch everywher everi meter larg number pothol last coupl year need attent 
People of #Gwadar are protesting against shortage of water. #CPEC can't even provide basic necessities like drinking water and electricity for the people of Gwadar but the biased Pakistani media will never show you this. https://t.co/7GDWfxyBzf,2.0,0.0,peopl protest shortag water cpec even provid basic necess like drink water electr peopl bias pakistani medium never show 
"@A_Kudwa @MSEDCL @CMOMaharashtra @NitinRaut_INC @EE_Bhandup @eevasai @klnestsdn_III @cebhandup @CMDMSEDCL @prajaktdada Tweeter handle of MSEDCL is hopeless. I complaint them about electricity theft, their customer care called me asking whats my complaint regarding new connection.

Go round &amp; round and nothing will get addressed. some one at higher level needs to look in to it urgently.",0.0,1.0," kudwa msedcl cmomaharashtra nitinraut bhandup eevasai klnestsdn cebhandup cmdmsedcl prajaktdada tweeter handl msedcl hopeless complaint electr theft custom care call what complaint regard connect 

 round round noth address higher level need look urgent "
Electric lines are cut/broken in front of Kandervilagam Church Road( Colachel EB office- Kanyakumari district) and many places around it. Students are taking exams online. No charge left in phones.  Repair and restore electricity on war footing. Immediately action needs to be taken.#TNEB/,0.0,1.0,electr line broken front kandervilagam church road colachel offic kanyakumari district mani place around student take exam onlin charg left phone repair restor electr foot immedi action need taken tneb 
Police are conducting their weekly O Kae Molao crime-busting operation in Centurion. Roadblocks are being conducted and police will be raiding places of interest. @Nqobile_Mad reports. #DStv403 https://t.co/CEaTufntIn,1.0,0.0,polic conduct weekli molao crime bust oper centurion roadblock conduct polic raid place interest nqobil report dstv 
@Prime_suv In Standerton always leave 30min early coz the potholes will slow you down.,4.0,0.0, prime standerton alway leav earli pothol slow 
Septic Tanks And Tree Roots https://t.co/sGskgnYDH5 via @YouTube #septictanktv #septictank #sewage #water #construction #offgrid #home #building #garden #environment #ecofriendly #glamping #howto #diy #wastewater https://t.co/CmnUnuetxT,3.0,0.0,septic tank tree root youtub septictanktv septictank sewag water construct offgrid home build garden environ ecofriendli glamp howto wastewat 
"@PSPCLPb @PunjabGovtIndia @capt_amarinder @CMOPb @CsPunjab Still no electricity. Put complaint in PSPCL app from GJSA, Faridkot. Can get my whereabouts from complaint box.",0.0,0.0, pspclpb punjabgovtindia capt amarind cmopb cspunjab still electr complaint pspcl gjsa faridkot whereabout complaint 
The countries sewage system is so bad that if we get a little more rain than expected then the streets floods like crazy. The corcerned team needs to take action ASAP.,3.0,1.0,countri sewag system littl rain expect street flood like crazi corcern team need take action asap 
"We love this paper from The Global Road Safety Facility, aimed at LMICs to help them spend limited resources on road safety wisely. It does what it says on the cover #roadsafety #Heroforzero #StreetsForLife #GRSF @WorldBank 

https://t.co/NhXSM8FRu2 https://t.co/yl2R2sMtLM",4.0,0.0,"love paper global road safeti facil lmic help spend limit resourc road safeti wise cover roadsafeti heroforzero streetsforlif grsf worldbank 

 "
Police group knocks calls to defund police on anniversary of Floyd deatlh https://t.co/Bm6CKPNXa4 #SmartNews the police groups created this crime problems in America by being racists systemically and mass incarceration for petty crimes during capitalism and private prisons.,1.0,0.0,polic group knock call defund polic anniversari floyd deatlh smartnew polic group creat crime problem america racist system mass incarcer petti crime capit privat prison 
Police in North Carolina have arrested a woman who was in a car that was stopped by BLM rioters in the street in Elizabeth City. She’s charged w/two felony counts of assault with a deadly weapon w/intent to kill &amp; more. She may face hate crime charges too. https://t.co/EkYscBq1um,1.0,0.0,polic north carolina arrest woman stop rioter street elizabeth citi charg feloni count assault deadli weapon intent kill face hate crime charg 
@MoleValleyBeat The problem of #plant #theft along with petty #crime continues to blight the #farm industry. WatchTower intervenes before an incident can escalate by detecting suspicious activity issuing real time audio warnings and calling the appropriate authorities @WatchtowerSecu1 @PoliceCPI https://t.co/2LyeXl2lF3,1.0,0.0, molevalleybeat problem plant theft along petti crime continu blight farm industri watchtow interven incid escal detect suspici activ issu real time audio warn call appropri author watchtowersecu policecpi 
"@The_sinstress when oil mixed with water, fully separation is a hard issue. this is not an issue water waste system exist  or not.  you should not pour oil to water sewage. steps need to be taken against such actions",3.0,1.0, sinstress water fulli separ hard issu issu water wast system exist pour water sewag step need taken action
"@CityPowerJhb @TshepoJ15 We need a solution to this problem, we can't have Tshepisong phase 2,Phase7, Mnandin, and Vlakfontein connected together..
A solution must be done coz ever single day we log a complaint/fault reporting the outage of electricity.",0.0,0.0," citypowerjhb tshepoj need solut problem tshepisong phase phase mnandin vlakfontein connect togeth 
 solut must done ever singl complaint fault report outag electr "
"@PSPCLPb . I am without electricity for over 12 hours. get a message complaint resolved. esclate. person says who says you have 24 hours service. peope will come after 9 am.  you are  school, ( incidentally our residence and legal office too) will you work at night. ? smug reply",0.0,0.0, pspclpb without electr hour messag complaint resolv esclat person hour servic peop come school incident resid legal offic work night smug repli
"The One2Clean wastewater treatment system only uses 46 kWh per person, per year which helps to keep energy consumption and running costs low! ⚡️💸

#sewage #wastewater #civils #drainage #construction #energy #energysaving #grafuk https://t.co/a1BMUWojtd",3.0,0.0," clean wastewat treatment system person year help keep energi consumpt cost 

 sewag wastewat civil drainag construct energi energysav grafuk "
The garbage that is not being picked from the bins have turned in a mountain of garbage which is smelling so bad that people had to move out temporarily. Urgent action needs to be taken else the locality wont be a livable any more.,5.0,1.0,garbag pick turn mountain garbag smell peopl move temporarili urgent action need taken local wont livabl 
"Wonder if they have any tarmac left over could they slap it in the potholes (large enough to use as a Skate Park), and the roads that are rough as a dogs arse? https://t.co/AfOVnpVxpj",4.0,0.0,wonder tarmac left could slap pothol larg enough skate park road rough 
"My walk takes me along the canal 
In the shadow of pines shielding 
The sewage works: no waterfall Raymond Carver Was Not Here

Read the excellent ‘Raymond Carver Was Not Here’ by @NiallMachin1 in issue 3 of ‘192’ on the Poets Directory - link in profile. https://t.co/hLbAKAY6Yh",3.0,0.0,"walk take along canal 
 shadow pine shield 
 sewag work waterfal raymond carver here

read excel raymond carver niallmachin issu poet directori link profil "
Septic Tank Legal Requirements https://t.co/4SxjRByxCP via @YouTube #septictanktv #septictank #sewage #water #construction #offgrid #home #building #garden #environment #ecofriendly #glamping #howto #diy #wastewater https://t.co/Cw50COLkn5,2.0,0.0,septic tank legal requir youtub septictanktv septictank sewag water construct offgrid home build garden environ ecofriendli glamp howto wastewat 
The water sent by the coorparation is not being filtered properly due to which the level of salt is still high and its damaging our water pumps and pipelines. Instant action needs to be taken by the coorparation ,2.0,1.0,water sent coorpar filter properli level salt still high damag water pump pipelin instant action need taken coorpar 
The timing of corparation water needs to be increased as the 20 mins bracket to fill all our buckets are not enough.,2.0,0.0,time corpar water need increas bracket fill bucket enough 
The junction on CT mainroad needs a proper signal as its creating many chaos between the public. if this doesnt get solved soon then a lot of accidents is gonna hapen on the spot.,4.0,1.0,junction mainroad need proper signal creat mani chao public doesnt solv soon accid gonna hapen spot 
"Coronavirus traces found in MARCH 2019 sewage sample ...https://t.co/Rkx5WimuSG › article › us-health-coronavirus (Reuters) - Spanish virologists have found traces of the novel coronavirus in a sample of Barcelona wastewater collected in March,months before China.
We knew https://t.co/tDJozj5XaR",3.0,0.0,"coronaviru trace found march sewag sampl articl health coronaviru reuter spanish virologist found trace novel coronaviru sampl barcelona wastewat collect march month china 
 knew "
Low speed limits on streets save lives. 30 km/h limits where people &amp; traffic come together promote #RoadSafety &amp; #streetsforlife. For #GlobalRoadSafetyWeek UWM's Road Safety team joined the #Love30 campaign &amp; made their own pledges. @grspartnership @ifrc @UNGRSW @RoadSafetyNGOs https://t.co/ZACZDEvZ4J,4.0,0.0, speed limit street save life limit peopl traffic come togeth promot roadsafeti streetsforlif globalroadsafetyweek road safeti team join love campaign made pledg grspartnership ifrc ungrsw roadsafetyngo 
Over 98% of police killings from 2013-2020 have not resulted in officers being charged with a crime. Abolish qualified immunity now.,1.0,0.0, polic kill result offic charg crime abolish qualifi immun 
😨😨😨 @V_Senthilbalaji  this issue for Chennai region #TNEB #TANGEDCO kindly help here to rectify the mistake from EB. can we revise EB reading through TANGEDCO website-&gt;general complaint? #Help https://t.co/UhnPkDNU4E,0.0,0.0, issu chennai region tneb tangedco kindli help rectifi mistak revis read tangedco websit gener complaint help 
"Faced with another historic dry spell, California has overcome its squeamishness about ""toilet-to-tap”. Could this be the future of our water supply?

https://t.co/UoFqU2aAyb #WWTP #wastewater #toilettotap #water #recycledwater https://t.co/SPBihh8Vfg",2.0,0.0,"face anoth histor spell california overcom squeamish toilet could futur water suppli 

 wwtp wastewat toilettotap water recycledwat "
"The skyview society has filed an application for an external municipal water line but still we have not heard back from any one from the corporation. We have also tried contacting the concerned person but we have not heard back from them as well. Please help us out as already we are going through water scarcity.
",2.0,1.0,"skyview societi file applic extern municip water line still heard back corpor also contact concern person heard back well pleas help alreadi water scarciti 
"
"@krisis86 Oh good, I hope it works itself out naturally! Meanwhile I'm figuring out that there are just parts of me where water is not the issue haha",2.0,0.0, krisi good hope work natur meanwhil figur part water issu haha
They filled potholes in Morgantown today. Gonna be a good day.,4.0,0.0,fill pothol morgantown today gonna good 
My shop at new broadway was robbed at 2pm on tuesday by a 16 year old kid who stole packets of dorritos and redbull and left back a sorry note. The authorities needs to look in to the situtation.,1.0,1.0,shop broadway tuesday year stole packet dorrito redbul left back sorri note author need look situt 
